kind,class_source,field_source,destination_name,suggested_name,unresolved_tokens,xpath_hint
class-field,gest.gen.Requete,mToDefrag,toDefrag,toDefrag,to,/classes/class[@source='gest.gen.Requete']/field[@source='mToDefrag']
class-field,gest.gen.Requete$NComplexeComparaison,iHashCritere,iHashCritere,iHashCritere,i|Hash,/classes/class[@source='gest.gen.Requete$NComplexeComparaison']/field[@source='iHashCritere']
class-field,gest.gen.Requete$NComplexeComparaison,iType,iType,iType,i|Type,/classes/class[@source='gest.gen.Requete$NComplexeComparaison']/field[@source='iType']
class-field,gest.gen.VoieCircul,mCodeGeo,codeGeo,codeGeo,code|Geo,/classes/class[@source='gest.gen.VoieCircul']/field[@source='mCodeGeo']
class-field,gest.gen.VoieCircul,mCodeLien,codeLien,codeLien,code|Lien,/classes/class[@source='gest.gen.VoieCircul']/field[@source='mCodeLien']
class-field,gest.gen.VoieCircul,mRue,rue,rue,rue,/classes/class[@source='gest.gen.VoieCircul']/field[@source='mRue']
class-field,gest.gen.VoieCircul,mTypeRue,typeRue,typeRue,type|Rue,/classes/class[@source='gest.gen.VoieCircul']/field[@source='mTypeRue']
class-field,gest.gen.VoieCircul,mVectTempIDDossPrevAssoc,listeTempIDDossPrevAssoc,listeTemporaireIdDossPrevisionAssociation,Doss,/classes/class[@source='gest.gen.VoieCircul']/field[@source='mVectTempIDDossPrevAssoc']
class-field,gest.grade.Grade,mVectEmployeDateTaux,listeEmployeDateTaux,listeEmployeDateTaux,Date|Taux,/classes/class[@source='gest.grade.Grade']/field[@source='mVectEmployeDateTaux']
class-field,gest.graph.Graph,mMatriculeDossPrevAssoc,matriculeDossPrevAssoc,matriculeDossPrevisionAssociation,Doss,/classes/class[@source='gest.graph.Graph']/field[@source='mMatriculeDossPrevAssoc']
class-field,gest.graph.Graph,mNbrPixelUniteMes,nbrPixelUniteMes,nombrePixelUniteMes,Mes,/classes/class[@source='gest.graph.Graph']/field[@source='mNbrPixelUniteMes']
class-field,gest.graph.Graph,mPalierFond,palierFond,palierFond,Fond,/classes/class[@source='gest.graph.Graph']/field[@source='mPalierFond']
class-field,gest.graph.Graph,mIDTypeGraph,idTypeGraph,idTypeGraph,Type,/classes/class[@source='gest.graph.Graph']/field[@source='mIDTypeGraph']
class-field,gest.graph.GraphPalier,mInclureFond,inclureFond,inclureFond,Fond,/classes/class[@source='gest.graph.GraphPalier']/field[@source='mInclureFond']
class-field,gest.graph.GraphPalier,mNomFichierDefaut,nomFichierDefaut,nomFichierDefaut,nom,/classes/class[@source='gest.graph.GraphPalier']/field[@source='mNomFichierDefaut']
class-field,gest.graph.GraphPalier,mIDFichierSVG,idFichierSVG,idFichierSvg,SVG,/classes/class[@source='gest.graph.GraphPalier']/field[@source='mIDFichierSVG']
class-field,gest.graph.TypeGraph,mNbrPixelUniteMesDefaut,nbrPixelUniteMesDefaut,nombrePixelUniteMesDefaut,Mes,/classes/class[@source='gest.graph.TypeGraph']/field[@source='mNbrPixelUniteMesDefaut']
class-field,gest.graph.TypeGraph,mSousRepertDefaut,sousRepertDefaut,sousRepertDefaut,sous,/classes/class[@source='gest.graph.TypeGraph']/field[@source='mSousRepertDefaut']
class-field,gest.histo.Histo,mDate,date,date,date,/classes/class[@source='gest.histo.Histo']/field[@source='mDate']
class-field,gest.histo.Histo,mNomEntite,nomEntite,nomEntite,nom,/classes/class[@source='gest.histo.Histo']/field[@source='mNomEntite']
class-field,gest.histo.Histo,mIDNomEntite,idNomEntite,idNomEntite,Nom,/classes/class[@source='gest.histo.Histo']/field[@source='mIDNomEntite']
class-field,gest.horaire.HorQuart,mIdentJour,identJour,identJour,Jour,/classes/class[@source='gest.horaire.HorQuart']/field[@source='mIdentJour']
class-field,gest.horaire.HorQuart,mLastWSUpdate,lastWSUpdate,lastWsUpdate,last|WS,/classes/class[@source='gest.horaire.HorQuart']/field[@source='mLastWSUpdate']
class-field,gest.horaire.HorQuart,mIDAssigneA,idAssigneA,idAssigneA,A,/classes/class[@source='gest.horaire.HorQuart']/field[@source='mIDAssigneA']
class-field,gest.horaire.HorQuart,mIDModeleHorQuart,idModeleHorQuart,idModeleHorQuart,Hor,/classes/class[@source='gest.horaire.HorQuart']/field[@source='mIDModeleHorQuart']
class-field,gest.horaire.HorQuart,mIDPreHorQuart,idPreHorQuart,idPreHorQuart,Pre|Hor,/classes/class[@source='gest.horaire.HorQuart']/field[@source='mIDPreHorQuart']
class-field,gest.horaire.Horaire,mIdentJour,identJour,identJour,Jour,/classes/class[@source='gest.horaire.Horaire']/field[@source='mIdentJour']
class-field,gest.horaire.Horaire,mNbrJour,nbrJour,nombreJour,Jour,/classes/class[@source='gest.horaire.Horaire']/field[@source='mNbrJour']
class-field,gest.horaire.Horaire,mDispoWeb,dispoWeb,disponibleWeb,Web,/classes/class[@source='gest.horaire.Horaire']/field[@source='mDispoWeb']
class-field,gest.horaire.Horaire,mDateDispoDe,dateDispoDe,dateDisponibleDe,date|De,/classes/class[@source='gest.horaire.Horaire']/field[@source='mDateDispoDe']
class-field,gest.horaire.Horaire,mDateDispoA,dateDispoA,dateDisponibleA,date|A,/classes/class[@source='gest.horaire.Horaire']/field[@source='mDateDispoA']
class-field,gest.horaire.Horaire,mVectPreHorQuart,listePreHorQuart,listePreHorQuart,Pre|Hor,/classes/class[@source='gest.horaire.Horaire']/field[@source='mVectPreHorQuart']
class-field,gest.horaire.Horaire,mVectEmplReserv,listeEmplReserv,listeEmplReserv,Empl,/classes/class[@source='gest.horaire.Horaire']/field[@source='mVectEmplReserv']
class-field,gest.horaire.Horaire,mIsLastEstimationModifie,isLastEstimationModifie,isLastEstimationModifie,is|Last,/classes/class[@source='gest.horaire.Horaire']/field[@source='mIsLastEstimationModifie']
class-field,gest.horaire.Horaire,mLastEstimation,lastEstimation,lastEstimation,last,/classes/class[@source='gest.horaire.Horaire']/field[@source='mLastEstimation']
class-field,gest.horaire.Horaire,mVectIDProf,listeIDProf,listeIdProf,Prof,/classes/class[@source='gest.horaire.Horaire']/field[@source='mVectIDProf']
class-field,gest.horaire.InfoEmployeQuart,mIsPartielFinPlusGrandEgalQuart,isPartielFinPlusGrandEgalQuart,isPartielFinPlusGrandEgalQuart,is|Plus|Egal,/classes/class[@source='gest.horaire.InfoEmployeQuart']/field[@source='mIsPartielFinPlusGrandEgalQuart']
class-field,gest.horaire.ModeleHorQuart,mATousLesPer,aTousLesPer,aTousLesPer,a|Tous|Les|Per,/classes/class[@source='gest.horaire.ModeleHorQuart']/field[@source='mATousLesPer']
class-field,gest.horaire.ModeleHorQuart,mJourDebut,jourDebut,jourDebut,jour,/classes/class[@source='gest.horaire.ModeleHorQuart']/field[@source='mJourDebut']
class-field,gest.horaire.ModeleHorQuart,mJourFin,jourFin,jourFin,jour,/classes/class[@source='gest.horaire.ModeleHorQuart']/field[@source='mJourFin']
class-field,gest.horaire.ModeleHorQuart,mSelectionJourPer,selectionJourPer,selectionJourPer,Jour|Per,/classes/class[@source='gest.horaire.ModeleHorQuart']/field[@source='mSelectionJourPer']
class-field,gest.horaire.ModeleHorQuart,mTypePer,typePer,typePer,type|Per,/classes/class[@source='gest.horaire.ModeleHorQuart']/field[@source='mTypePer']
class-field,gest.horaire.ModeleHorQuart,mUniteMesPer,uniteMesPer,uniteMesPer,Mes|Per,/classes/class[@source='gest.horaire.ModeleHorQuart']/field[@source='mUniteMesPer']
class-field,gest.horaire.ModeleHorQuart,mVectHorRestrict,listeHorRestrict,listeHorRestrict,Hor,/classes/class[@source='gest.horaire.ModeleHorQuart']/field[@source='mVectHorRestrict']
class-field,gest.horaire.ModeleHorQuart,mIDTypeActiviteProf,idTypeActiviteProf,idTypeActiviteProf,Type|Prof,/classes/class[@source='gest.horaire.ModeleHorQuart']/field[@source='mIDTypeActiviteProf']
class-field,gest.horaire.ModeleHoraire,mDatePerpetuelDebut,datePerpetuelDebut,datePerpetuelDebut,date,/classes/class[@source='gest.horaire.ModeleHoraire']/field[@source='mDatePerpetuelDebut']
class-field,gest.horaire.ModeleHoraire,mDispoSensRonde,dispoSensRonde,disponibleSensRonde,Sens,/classes/class[@source='gest.horaire.ModeleHoraire']/field[@source='mDispoSensRonde']
class-field,gest.horaire.ModeleHoraire,mDispoTousUtilPermis,dispoTousUtilPermis,disponibleTousUtilPermis,Tous|Util,/classes/class[@source='gest.horaire.ModeleHoraire']/field[@source='mDispoTousUtilPermis']
class-field,gest.horaire.ModeleHoraire,mModuleDeHoraire,moduleDeHoraire,moduleDeHoraire,De,/classes/class[@source='gest.horaire.ModeleHoraire']/field[@source='mModuleDeHoraire']
class-field,gest.horaire.ModeleHoraire,mNbrJour,nbrJour,nombreJour,Jour,/classes/class[@source='gest.horaire.ModeleHoraire']/field[@source='mNbrJour']
class-field,gest.horaire.ModeleHoraire,mNotifCourrielOnComplet,notifCourrielOnComplet,notifCourrielOnComplet,On,/classes/class[@source='gest.horaire.ModeleHoraire']/field[@source='mNotifCourrielOnComplet']
