kind,class_source,field_source,destination_name,suggested_name,unresolved_tokens,xpath_hint
shared-field,,mIDSSI,idSSI,idSsi,SSI,/classes/fields/field[@source='mIDSSI']
shared-field,,mIDDBConso,idDBConso,idDbConso,DB,/classes/fields/field[@source='mIDDBConso']
shared-field,,mNom,nom,nom,nom,/classes/fields/field[@source='mNom']
shared-field,,mNote,note,note,note,/classes/fields/field[@source='mNote']
shared-field,,mDateCreation,dateCreation,dateCreation,date,/classes/fields/field[@source='mDateCreation']
shared-field,,mDateActivite,dateActivite,dateActivite,date,/classes/fields/field[@source='mDateActivite']
shared-field,,mDateCompletee,dateCompletee,dateCompletee,date,/classes/fields/field[@source='mDateCompletee']
shared-field,,mDateIdent,dateIdent,dateIdent,date,/classes/fields/field[@source='mDateIdent']
shared-field,,mDateDebut,dateDebut,dateDebut,date,/classes/fields/field[@source='mDateDebut']
shared-field,,mDateFin,dateFin,dateFin,date,/classes/fields/field[@source='mDateFin']
shared-field,,mIDTypeActivite,idTypeActivite,idTypeActivite,Type,/classes/fields/field[@source='mIDTypeActivite']
class-field,com.db4o.StaticClass,name,name,name,name,/classes/class[@source='com.db4o.StaticClass']/field[@source='name']
class-field,com.db4o.StaticField,name,name,name,name,/classes/class[@source='com.db4o.StaticField']/field[@source='name']
class-field,com.db4o.config.Entry,key,key,key,key,/classes/class[@source='com.db4o.config.Entry']/field[@source='key']
class-field,com.db4o.ext.Db4oDatabase,i_signature,i_signature,iSignature,i,/classes/class[@source='com.db4o.ext.Db4oDatabase']/field[@source='i_signature']
class-field,com.db4o.ext.Db4oDatabase,i_uuid,i_uuid,iUuid,i|uuid,/classes/class[@source='com.db4o.ext.Db4oDatabase']/field[@source='i_uuid']
class-field,gen.requete.DynamicStaticDate,mDynamicDate,dynamicDate,dynamicDate,Date,/classes/class[@source='gen.requete.DynamicStaticDate']/field[@source='mDynamicDate']
class-field,gen.requete.DynamicStaticDate,mStaticDate,staticDate,staticDate,Date,/classes/class[@source='gen.requete.DynamicStaticDate']/field[@source='mStaticDate']
class-field,gen.util.HVector,mReadOnly,readOnly,readOnly,read|Only,/classes/class[@source='gen.util.HVector']/field[@source='mReadOnly']
class-field,gen.util.ObjetToString,mHashCodeSurToString,hashCodeSurToString,hashCodeSurToString,hash|Code|Sur|To,/classes/class[@source='gen.util.ObjetToString']/field[@source='mHashCodeSurToString']
class-field,gen.util.ObjetToString,mToString,toString,toString,to,/classes/class[@source='gen.util.ObjetToString']/field[@source='mToString']
class-field,gest.DSI2003.DSI2003,mCode,code,code,code,/classes/class[@source='gest.DSI2003.DSI2003']/field[@source='mCode']
class-field,gest.DSI2003.DSI2003,mNom,nom,nom,nom,/classes/class[@source='gest.DSI2003.DSI2003']/field[@source='mNom']
class-field,gest.DSI2003.DSI2003Perso,mIDSousCodeMSP,idSousCodeMSP,idSousCodeMsp,Sous|Code|MSP,/classes/class[@source='gest.DSI2003.DSI2003Perso']/field[@source='mIDSousCodeMSP']
class-field,gest.activite.Acte,mVectIDTypeActivite,listeIDTypeActivite,listeIdTypeActivite,Type,/classes/class[@source='gest.activite.Acte']/field[@source='mVectIDTypeActivite']
class-field,gest.activite.ActionCondition,mMontantBase,montantBase,montantBase,Base,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mMontantBase']
class-field,gest.activite.ActionCondition,mTauxHoraireMult,tauxHoraireMultiplicateur,tauxHoraireMultiplicateur,taux,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mTauxHoraireMult']
class-field,gest.activite.ActionCondition,mTempsPayeBase,tempsPayeBase,tempsPayeBase,Paye|Base,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mTempsPayeBase']
class-field,gest.activite.ActionCondition,mTempsPayeBloc,tempsPayeBloc,tempsPayeBloc,Paye|Bloc,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mTempsPayeBloc']
class-field,gest.activite.ActionCondition,mTempsPayeBlocArrondir,tempsPayeBlocArrondir,tempsPayeBlocArrondir,Paye|Bloc,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mTempsPayeBlocArrondir']
class-field,gest.activite.ActionCondition,mTempsPayeMax,tempsPayeMax,tempsPayeMaximum,Paye,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mTempsPayeMax']
class-field,gest.activite.ActionCondition,mTempsPayeMin,tempsPayeMin,tempsPayeMinimum,Paye,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mTempsPayeMin']
class-field,gest.activite.ActionCondition,mVectCommenceIntervalleDate,listeCommenceIntervalleDate,listeCommenceIntervalleDate,Date,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mVectCommenceIntervalleDate']
class-field,gest.activite.ActionCondition,mVectIDTypeActivite,listeIDTypeActivite,listeIdTypeActivite,Type,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mVectIDTypeActivite']
class-field,gest.activite.ActionCondition,mVectIDTypeActivitePreseance,listeIDTypeActivitePreseance,listeIdTypeActivitePreseance,Type,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mVectIDTypeActivitePreseance']
class-field,gest.activite.ActionCondition,mIDTypeActiviteActTaux,idTypeActiviteActTaux,idTypeActiviteActTaux,Type|Act|Taux,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mIDTypeActiviteActTaux']
class-field,gest.activite.InfoEmploye,mDatePartielDebut,datePartielleDebut,datePartielleDebut,date,/classes/class[@source='gest.activite.InfoEmploye']/field[@source='mDatePartielDebut']
class-field,gest.activite.InfoEmploye,mDatePartielFin,datePartielleFin,datePartielleFin,date,/classes/class[@source='gest.activite.InfoEmploye']/field[@source='mDatePartielFin']
class-field,gest.activite.InfoEmploye,mQuiPayerSiRemplace,quiPayerSiRemplace,quiPayerSiRemplace,qui|Si,/classes/class[@source='gest.activite.InfoEmploye']/field[@source='mQuiPayerSiRemplace']
class-field,gest.activite.InfoEmploye,mVectIDActe,listeIDActe,listeIdActe,Acte,/classes/class[@source='gest.activite.InfoEmploye']/field[@source='mVectIDActe']
class-field,gest.activite.InfoEmploye,mIDTypeActiviteRempl,idTypeActiviteRemplacant,idTypeActiviteRemplacant,Type,/classes/class[@source='gest.activite.InfoEmploye']/field[@source='mIDTypeActiviteRempl']
class-field,gest.activite.TabState,mCurrentTabState,etatOngletActuel,etatOngletActuel,etat,/classes/class[@source='gest.activite.TabState']/field[@source='mCurrentTabState']
class-field,gest.activite.TypeActivite,mAutreCodeGain,autreCodeGain,autreCodeGain,Code|Gain,/classes/class[@source='gest.activite.TypeActivite']/field[@source='mAutreCodeGain']
class-field,gest.activite.TypeActivite,mCodeActivite,codeActivite,codeActivite,code,/classes/class[@source='gest.activite.TypeActivite']/field[@source='mCodeActivite']
class-field,gest.activite.TypeActivite,mPermetSelActivite,permetSelectionDansActivites,permetSelectionDansActivites,Dans,/classes/class[@source='gest.activite.TypeActivite']/field[@source='mPermetSelActivite']
class-field,gest.activite.TypeActivite,mTypeAbsencePermis,typeAbsencePermis,typeAbsencePermis,type,/classes/class[@source='gest.activite.TypeActivite']/field[@source='mTypeAbsencePermis']
class-field,gest.activite.TypeActivite,mUtiliserAutreCodeGain,utiliserAutreCodeGain,utiliserAutreCodeGain,Code|Gain,/classes/class[@source='gest.activite.TypeActivite']/field[@source='mUtiliserAutreCodeGain']
class-field,gest.borne.AnomBorne,mHorsService,horsService,horsService,hors,/classes/class[@source='gest.borne.AnomBorne']/field[@source='mHorsService']
class-field,gest.borne.Borne,mDateFinGarantie,dateFinGarantie,dateFinGarantie,date,/classes/class[@source='gest.borne.Borne']/field[@source='mDateFinGarantie']
class-field,gest.borne.Borne,mDateInstallation,dateInstallation,dateInstallation,date,/classes/class[@source='gest.borne.Borne']/field[@source='mDateInstallation']
class-field,gest.borne.Borne,mEtat,etat,etat,etat,/classes/class[@source='gest.borne.Borne']/field[@source='mEtat']
class-field,gest.borne.Borne,mGPSConnu,gpsConnu,gpsConnu,gps,/classes/class[@source='gest.borne.Borne']/field[@source='mGPSConnu']
class-field,gest.borne.Borne,mGeoPosition,geoPosition,geoPosition,geo,/classes/class[@source='gest.borne.Borne']/field[@source='mGeoPosition']
class-field,gest.borne.Borne,mIndiquerDateEchue,indiquerDateEchue,indiquerDateEchue,Date,/classes/class[@source='gest.borne.Borne']/field[@source='mIndiquerDateEchue']
class-field,gest.borne.Borne,mLieu,lieu,lieu,lieu,/classes/class[@source='gest.borne.Borne']/field[@source='mLieu']
class-field,gest.borne.Borne,mLongLat,longLat,longLat,long|Lat,/classes/class[@source='gest.borne.Borne']/field[@source='mLongLat']
class-field,gest.borne.Borne,mTypeProprietaire,typeProprietaire,typeProprietaire,type,/classes/class[@source='gest.borne.Borne']/field[@source='mTypeProprietaire']
class-field,gest.borne.Borne,mPropNom,proprietaireNom,proprietaireNom,Nom,/classes/class[@source='gest.borne.Borne']/field[@source='mPropNom']
class-field,gest.borne.BorneIncendie,mDateCalcDebit,dateCalculDebit,dateCalculDebit,date,/classes/class[@source='gest.borne.BorneIncendie']/field[@source='mDateCalcDebit']
class-field,gest.borne.BorneIncendie,mIDTypeValve,idTypeValve,idTypeValve,Type,/classes/class[@source='gest.borne.BorneIncendie']/field[@source='mIDTypeValve']
class-field,gest.borne.BorneIncendie,mNonDrainable,nonDrainable,nonDrainable,non,/classes/class[@source='gest.borne.BorneIncendie']/field[@source='mNonDrainable']
class-field,gest.borne.BorneIncendie,mNoteValve,noteValve,noteValve,note,/classes/class[@source='gest.borne.BorneIncendie']/field[@source='mNoteValve']
class-field,gest.borne.BorneSeche,mRisqueGel,risqueGel,risqueGel,Gel,/classes/class[@source='gest.borne.BorneSeche']/field[@source='mRisqueGel']
class-field,gest.borne.BorneSeche,mTuyauTypeCoude,tuyauTypeCoude,tuyauTypeCoude,Type,/classes/class[@source='gest.borne.BorneSeche']/field[@source='mTuyauTypeCoude']
class-field,gest.borne.BornePer,mIDTypeMaintBorne,idTypeMaintBorne,idTypeMaintBorne,Type,/classes/class[@source='gest.borne.BornePer']/field[@source='mIDTypeMaintBorne']
class-field,gest.borne.BornePiece,mNom,nom,nom,nom,/classes/class[@source='gest.borne.BornePiece']/field[@source='mNom']
class-field,gest.borne.CalcDebit,mPressRes1Ouv,pressionResiduelle1Ouv,pressionResiduelle1Ouv,Ouv,/classes/class[@source='gest.borne.CalcDebit']/field[@source='mPressRes1Ouv']
class-field,gest.borne.CalcDebit,mPressRes2Ouv,pressionResiduelle2Ouv,pressionResiduelle2Ouv,Ouv,/classes/class[@source='gest.borne.CalcDebit']/field[@source='mPressRes2Ouv']
class-field,gest.borne.CalcDebit,mPressDyn2Ouv,pressionDynamique2Ouv,pressionDynamique2Ouv,Ouv,/classes/class[@source='gest.borne.CalcDebit']/field[@source='mPressDyn2Ouv']
class-field,gest.borne.ModeleBorne,mType,type,type,type,/classes/class[@source='gest.borne.ModeleBorne']/field[@source='mType']
class-field,gest.borne.ModeleBorne,mVectBornePer,listeBornePer,listeBornePer,Per,/classes/class[@source='gest.borne.ModeleBorne']/field[@source='mVectBornePer']
class-field,gest.borne.ParamMaintBorne,mVectPerBorneInc,listePerBorneInc,listePerBorneInc,Per|Inc,/classes/class[@source='gest.borne.ParamMaintBorne']/field[@source='mVectPerBorneInc']
class-field,gest.borne.ParamMaintBorne,mVectPerBorneSeche,listePerBorneSeche,listePerBorneSeche,Per,/classes/class[@source='gest.borne.ParamMaintBorne']/field[@source='mVectPerBorneSeche']
class-field,gest.borne.ParamMaintBorne,mVectPerPointEau,listePerPointEau,listePerPointEau,Per|Eau,/classes/class[@source='gest.borne.ParamMaintBorne']/field[@source='mVectPerPointEau']
class-field,gest.cartographie.ParamServeurCartographie,mNomAttributMatricule,nomAttributMatricule,nomAttributMatricule,nom,/classes/class[@source='gest.cartographie.ParamServeurCartographie']/field[@source='mNomAttributMatricule']
class-field,gest.cartographie.ParamServeurCartographie,mNomCoucheUnitesEvaluation,nomCoucheUnitesEvaluation,nomCoucheUnitesEvaluation,nom,/classes/class[@source='gest.cartographie.ParamServeurCartographie']/field[@source='mNomCoucheUnitesEvaluation']
class-field,gest.cartographie.ParamServeurCartographie,mNomProjet,nomProjet,nomProjet,nom,/classes/class[@source='gest.cartographie.ParamServeurCartographie']/field[@source='mNomProjet']
class-field,gest.cartographie.ParamServeurCartographie,mNomServeur,nomServeur,nomServeur,nom,/classes/class[@source='gest.cartographie.ParamServeurCartographie']/field[@source='mNomServeur']
class-field,gest.cartographie.ParamServeurCartographie,mPortDirect,portDirect,portDirect,port,/classes/class[@source='gest.cartographie.ParamServeurCartographie']/field[@source='mPortDirect']
class-field,gest.cartographie.ParamUtilisateurCartographie,mCodeUtilisateur,codeUtilisateur,codeUtilisateur,code,/classes/class[@source='gest.cartographie.ParamUtilisateurCartographie']/field[@source='mCodeUtilisateur']
class-field,gest.cartographie.ParamUtilisateurCartographie,mMotDePasse,motDePasse,motDePasse,mot|De,/classes/class[@source='gest.cartographie.ParamUtilisateurCartographie']/field[@source='mMotDePasse']
class-field,gest.caserne.Caserne,mVectPer,listePer,listePer,Per,/classes/class[@source='gest.caserne.Caserne']/field[@source='mVectPer']
class-field,gest.cauca.ParamCauca,mAdresseServ,adresseServ,adresseServ,Serv,/classes/class[@source='gest.cauca.ParamCauca']/field[@source='mAdresseServ']
class-field,gest.cauca.ParamCauca,mPortServ,portServ,portServ,port|Serv,/classes/class[@source='gest.cauca.ParamCauca']/field[@source='mPortServ']
class-field,gest.cauca.ParamCauca,mSens,sens,sens,sens,/classes/class[@source='gest.cauca.ParamCauca']/field[@source='mSens']
class-field,gest.cauca.ParamCauca,mVectNDernImport,listeNDernImport,listeNDernImport,N|Dern,/classes/class[@source='gest.cauca.ParamCauca']/field[@source='mVectNDernImport']
class-field,gest.cauca.ParamCauca$NDernImport,iCodeGeo,codeGeo,codeGeo,code|Geo,/classes/class[@source='gest.cauca.ParamCauca$NDernImport']/field[@source='iCodeGeo']
class-field,gest.centreDesRapports.SectionRapportCentral,mIdentHJTable,identHJTable,identHjTable,HJ,/classes/class[@source='gest.centreDesRapports.SectionRapportCentral']/field[@source='mIdentHJTable']
class-field,gest.centreDesRapports.SectionRapportCentral,mModeRapport,modeRapport,modeRapport,mode,/classes/class[@source='gest.centreDesRapports.SectionRapportCentral']/field[@source='mModeRapport']
class-field,gest.centreDesRapports.SectionRapportCentral,mNomOngletXLS,nomOngletXLS,nomOngletXls,nom|XLS,/classes/class[@source='gest.centreDesRapports.SectionRapportCentral']/field[@source='mNomOngletXLS']
class-field,gest.centreDesRapports.SectionRapportCentral,mVectNCol,listeNCol,listeNCol,N|Col,/classes/class[@source='gest.centreDesRapports.SectionRapportCentral']/field[@source='mVectNCol']
class-field,gest.centreDesRapports.SectionRapportCentral,mVectNGroupe,listeNGroupe,listeNGroupe,N,/classes/class[@source='gest.centreDesRapports.SectionRapportCentral']/field[@source='mVectNGroupe']
class-field,gest.centreDesRapports.SectionRapportCentral,mVectNTri,listeNTri,listeNTri,N|Tri,/classes/class[@source='gest.centreDesRapports.SectionRapportCentral']/field[@source='mVectNTri']
class-field,gest.champPerso.ChampPerso,mIDTypeChampPerso,idTypeChampPerso,idTypeChampPerso,Type,/classes/class[@source='gest.champPerso.ChampPerso']/field[@source='mIDTypeChampPerso']
class-field,gest.champPerso.TypeChampPerso,mDernIDChoix,dernIDChoix,dernIdChoix,dern,/classes/class[@source='gest.champPerso.TypeChampPerso']/field[@source='mDernIDChoix']
class-field,gest.champPerso.TypeChampPerso,mExtraDataKeyAssoc,extraDataKeyAssoc,extraDataKeyAssociation,Data|Key,/classes/class[@source='gest.champPerso.TypeChampPerso']/field[@source='mExtraDataKeyAssoc']
class-field,gest.champPerso.TypeChampPerso,mType,type,type,type,/classes/class[@source='gest.champPerso.TypeChampPerso']/field[@source='mType']
class-field,gest.champPerso.TypeChampPerso,mTypeSelection,typeSelection,typeSelection,type,/classes/class[@source='gest.champPerso.TypeChampPerso']/field[@source='mTypeSelection']
class-field,gest.codeAppel.CodeAppel,mCodePR,codePR,codePr,code|PR,/classes/class[@source='gest.codeAppel.CodeAppel']/field[@source='mCodePR']
class-field,gest.codeAppel.CodeAppel,mCodeRAO,codeRAO,codeRao,code|RAO,/classes/class[@source='gest.codeAppel.CodeAppel']/field[@source='mCodeRAO']
class-field,gest.codeAppel.CodeAppel,mFaireDSI2003,faireDSI2003,faireDsi2003,DSI|2003,/classes/class[@source='gest.codeAppel.CodeAppel']/field[@source='mFaireDSI2003']
class-field,gest.codeAppel.CodeAppel,mVectEtatSections,listeEtatSections,listeEtatSections,Etat,/classes/class[@source='gest.codeAppel.CodeAppel']/field[@source='mVectEtatSections']
class-field,gest.config.ConfigCompressionImages,mCboFormatParDefaut,cboFormatParDefaut,cboFormatParDefaut,cbo|Par,/classes/class[@source='gest.config.ConfigCompressionImages']/field[@source='mCboFormatParDefaut']
class-field,gest.config.ConfigCompressionImages,mInclureDansRapport,inclureDansRapport,inclureDansRapport,Dans,/classes/class[@source='gest.config.ConfigCompressionImages']/field[@source='mInclureDansRapport']
class-field,gest.config.ConfigCompressionImages,mTauxCompression,tauxCompression,tauxCompression,taux,/classes/class[@source='gest.config.ConfigCompressionImages']/field[@source='mTauxCompression']
class-field,gest.config.ParamBackup,mHreBackup,hreBackup,hreBackup,hre,/classes/class[@source='gest.config.ParamBackup']/field[@source='mHreBackup']
class-field,gest.config.ParamConfig,mIdentVilleDansNumActiv,identVilleDansNumActiv,identVilleDansNumeroActiv,Dans,/classes/class[@source='gest.config.ParamConfig']/field[@source='mIdentVilleDansNumActiv']
class-field,gest.config.ParamConfig,mIDLogo,idLogo,idLogo,Logo,/classes/class[@source='gest.config.ParamConfig']/field[@source='mIDLogo']
class-field,gest.config.ParamConfig,mStratePop,stratePop,stratePop,Pop,/classes/class[@source='gest.config.ParamConfig']/field[@source='mStratePop']
class-field,gest.config.ParamConfig,mTypeSequence,typeSequence,typeSequence,type,/classes/class[@source='gest.config.ParamConfig']/field[@source='mTypeSequence']
class-field,gest.config.ParamConfigGeneral,mAlerteOnJMSTrouble,alerteOnJMSTrouble,alerteOnJmsTrouble,On|JMS,/classes/class[@source='gest.config.ParamConfigGeneral']/field[@source='mAlerteOnJMSTrouble']
class-field,gest.config.ParamConfigGeneral,mFlagPossibleCorruptionBD,flagPossibleCorruptionBD,flagPossibleCorruptionBd,flag|BD,/classes/class[@source='gest.config.ParamConfigGeneral']/field[@source='mFlagPossibleCorruptionBD']
class-field,gest.config.ParamConfigGeneral,mLastBakVerif,lastBakVerif,lastBakVerif,last|Bak,/classes/class[@source='gest.config.ParamConfigGeneral']/field[@source='mLastBakVerif']
class-field,gest.config.ParamConfigGeneral,mLastJMSAlerteSent,lastJMSAlerteSent,lastJmsAlerteSent,last|JMS|Sent,/classes/class[@source='gest.config.ParamConfigGeneral']/field[@source='mLastJMSAlerteSent']
class-field,gest.config.ParamConfigGeneral,mVectIDSousSSI,listeIdSousSSI,listeIdSousSsi,Sous|SSI,/classes/class[@source='gest.config.ParamConfigGeneral']/field[@source='mVectIDSousSSI']
class-field,gest.config.ParamConfigSSI,mHreEnvoiAutoNotif,hreEnvoiAutoNotif,hreEnvoiAutomatiqueNotif,hre,/classes/class[@source='gest.config.ParamConfigSSI']/field[@source='mHreEnvoiAutoNotif']
class-field,gest.config.ParamConfigSSI,mIdentVilleDansNumActiv,identVilleDansNumActiv,identVilleDansNumeroActiv,Dans,/classes/class[@source='gest.config.ParamConfigSSI']/field[@source='mIdentVilleDansNumActiv']
class-field,gest.config.ParamConfigSSI,mMemeSeqPourToutLesSSI,memeSeqPourToutLesSSI,memeSequencePourToutLesSsi,meme|Pour|Tout|Les|SSI,/classes/class[@source='gest.config.ParamConfigSSI']/field[@source='mMemeSeqPourToutLesSSI']
class-field,gest.config.ParamConfigSSI,mMettreSujetPourPagetCourriel,mettreSujetPourPagetCourriel,mettreSujetPourPagetCourriel,Pour,/classes/class[@source='gest.config.ParamConfigSSI']/field[@source='mMettreSujetPourPagetCourriel']
class-field,gest.config.ParamConfigSSI,mNotifRapportRCI,notifRapportRCI,notifRapportRci,RCI,/classes/class[@source='gest.config.ParamConfigSSI']/field[@source='mNotifRapportRCI']
class-field,gest.config.ParamConfigSSI,mParamFormWeb,paramFormWeb,parametreFormWeb,Form|Web,/classes/class[@source='gest.config.ParamConfigSSI']/field[@source='mParamFormWeb']
class-field,gest.config.ParamConfigSSI,mPermetAbsenceNonPayee,permettAbsenceNonPayee,permettAbsenceNonPayee,Non,/classes/class[@source='gest.config.ParamConfigSSI']/field[@source='mPermetAbsenceNonPayee']
class-field,gest.config.ParamConfigSSI,mPermettreEditerActivitesAApprouver,permettreEditerActivitesAApprouver,permettreEditerActivitesAApprouver,A,/classes/class[@source='gest.config.ParamConfigSSI']/field[@source='mPermettreEditerActivitesAApprouver']
class-field,gest.config.ParamConfigSSI,mPermitCancelOnActWithNumPreassigned,permitCancelOnActWithNumPreassigned,permitCancelOnActWithNumeroPreassigned,On|Act|With,/classes/class[@source='gest.config.ParamConfigSSI']/field[@source='mPermitCancelOnActWithNumPreassigned']
class-field,gest.config.ParamConfigSSI,mPortEnvoiPaget,portEnvoiPaget,portEnvoiPaget,port,/classes/class[@source='gest.config.ParamConfigSSI']/field[@source='mPortEnvoiPaget']
class-field,gest.config.ParamConfigSSI,mQteDelaiRapportRCI,qteDelaiRapportRCI,quantiteDelaiRapportRci,RCI,/classes/class[@source='gest.config.ParamConfigSSI']/field[@source='mQteDelaiRapportRCI']
class-field,gest.config.ParamConfigSSI,mStratePop,stratePop,stratePop,Pop,/classes/class[@source='gest.config.ParamConfigSSI']/field[@source='mStratePop']
class-field,gest.config.ParamConfigSSI,mTypeSequence,typeSequence,typeSequence,type,/classes/class[@source='gest.config.ParamConfigSSI']/field[@source='mTypeSequence']
class-field,gest.config.ParamConfigSSI,mIDLogo,idLogo,idLogo,Logo,/classes/class[@source='gest.config.ParamConfigSSI']/field[@source='mIDLogo']
class-field,gest.config.ParamSendMail,mHostSMTP,hostSMTP,hostSmtp,host|SMTP,/classes/class[@source='gest.config.ParamSendMail']/field[@source='mHostSMTP']
class-field,gest.config.ParamSendMail,mPortSMTP,portSMTP,portSmtp,port|SMTP,/classes/class[@source='gest.config.ParamSendMail']/field[@source='mPortSMTP']
class-field,gest.config.ParamSendMail,mTypeEnvoi,typeEnvoi,typeEnvoi,type,/classes/class[@source='gest.config.ParamSendMail']/field[@source='mTypeEnvoi']
class-field,gest.config.ParamSendMail,mUseOutlook,useOutlook,useOutlook,use,/classes/class[@source='gest.config.ParamSendMail']/field[@source='mUseOutlook']
class-field,gest.config.VilleGeo,mCodeRAO,codeRAO,codeRao,code|RAO,/classes/class[@source='gest.config.VilleGeo']/field[@source='mCodeRAO']
class-field,gest.consolide.DetailEnvoi,mInclureEnCours,inclureEnCours,inclureEnCours,En,/classes/class[@source='gest.consolide.DetailEnvoi']/field[@source='mInclureEnCours']
class-field,gest.consolide.DetailIntervEnvoi,mDSISeulement,dSISeulement,dSiSeulement,d|SI,/classes/class[@source='gest.consolide.DetailIntervEnvoi']/field[@source='mDSISeulement']
class-field,gest.consolide.ParamConsolide,mPrefixeNouvActivite,prefixeNouvActivite,prefixeNouvActivite,Nouv,/classes/class[@source='gest.consolide.ParamConsolide']/field[@source='mPrefixeNouvActivite']
class-field,gest.consolide.ParamConsolide,mRepertSync,repertSync,repertSync,Sync,/classes/class[@source='gest.consolide.ParamConsolide']/field[@source='mRepertSync']
class-field,gest.consolide.ParamConsolide,mTypeSync,typeSync,typeSync,type|Sync,/classes/class[@source='gest.consolide.ParamConsolide']/field[@source='mTypeSync']
class-field,gest.consolide.ParamConsolide,mVectClassCorrToString,listeClassCorrToString,listeClassCorrToString,Corr|To,/classes/class[@source='gest.consolide.ParamConsolide']/field[@source='mVectClassCorrToString']
class-field,gest.consolide.ParamSSI,mAccesMultiTous,accesMultiTous,accesMultiTous,Tous,/classes/class[@source='gest.consolide.ParamSSI']/field[@source='mAccesMultiTous']
class-field,gest.consolide.ParamSSI,mCodeConso,codeConso,codeConso,code,/classes/class[@source='gest.consolide.ParamSSI']/field[@source='mCodeConso']
class-field,gest.consolide.ParamSSI,mDernTSImport,dernTSImport,dernTsImport,dern|TS,/classes/class[@source='gest.consolide.ParamSSI']/field[@source='mDernTSImport']
class-field,gest.consolide.ParamSSI,mEnvoiPLCentral,envoiPLCentral,envoiPlCentral,PL,/classes/class[@source='gest.consolide.ParamSSI']/field[@source='mEnvoiPLCentral']
class-field,gest.consolide.ParamSSI,mEnvoyerTout,envoyerTout,envoyerTout,Tout,/classes/class[@source='gest.consolide.ParamSSI']/field[@source='mEnvoyerTout']
class-field,gest.consolide.ParamSSI,mInclurePJ,inclurePJ,inclurePj,PJ,/classes/class[@source='gest.consolide.ParamSSI']/field[@source='mInclurePJ']
class-field,gest.consolide.ParamSSI,mTypeSync,typeSync,typeSync,type|Sync,/classes/class[@source='gest.consolide.ParamSSI']/field[@source='mTypeSync']
class-field,gest.consolide.ParamSSI,mVectNModuleDetail,listeNModuleDetail,listeNModuleDetail,N,/classes/class[@source='gest.consolide.ParamSSI']/field[@source='mVectNModuleDetail']
class-field,gest.cours.CoursInterne,mTypeFormateur,typeFormateur,typeFormateur,type,/classes/class[@source='gest.cours.CoursInterne']/field[@source='mTypeFormateur']
class-field,gest.cours.CoursInterne,mVectFormMateriel,listeFormMateriel,listeFormMateriel,Form,/classes/class[@source='gest.cours.CoursInterne']/field[@source='mVectFormMateriel']
class-field,gest.docum.Docum,mEtatDoc,etatDoc,etatDocument,etat,/classes/class[@source='gest.docum.Docum']/field[@source='mEtatDoc']
class-field,gest.docum.Docum,mVectDroitAccesRessSecCiv,listeDroitAccesRessSecCiv,listeDroitAccesRessSecCiv,Ress|Sec|Civ,/classes/class[@source='gest.docum.Docum']/field[@source='mVectDroitAccesRessSecCiv']
class-field,gest.docum.EtatDoc,mEtat,etat,etat,etat,/classes/class[@source='gest.docum.EtatDoc']/field[@source='mEtat']
class-field,gest.dossPrev.Chauffage,mAnneeFab,anneeFab,anneeFab,Fab,/classes/class[@source='gest.dossPrev.Chauffage']/field[@source='mAnneeFab']
class-field,gest.dossPrev.Chauffage,mIDTypeChauffage,idTypeChauffage,idTypeChauffage,Type,/classes/class[@source='gest.dossPrev.Chauffage']/field[@source='mIDTypeChauffage']
class-field,gest.dossPrev.Chauffage,mIDTypeCheminee,idTypeCheminee,idTypeCheminee,Type,/classes/class[@source='gest.dossPrev.Chauffage']/field[@source='mIDTypeCheminee']
class-field,gest.dossPrev.DossPrev,INDEX_toString,index_toString,indexToString,to,/classes/class[@source='gest.dossPrev.DossPrev']/field[@source='INDEX_toString']
class-field,gest.dossPrev.DossPrev,mAireAuSol,aireAuSol,aireAuSol,aire|Au|Sol,/classes/class[@source='gest.dossPrev.DossPrev']/field[@source='mAireAuSol']
class-field,gest.dossPrev.DossPrev,mDateDernResolution,dateDernResolution,dateDernResolution,date|Dern,/classes/class[@source='gest.dossPrev.DossPrev']/field[@source='mDateDernResolution']
class-field,gest.dossPrev.DossPrev,mDateDernSync,dateDernSync,dateDernSync,date|Dern|Sync,/classes/class[@source='gest.dossPrev.DossPrev']/field[@source='mDateDernSync']
class-field,gest.dossPrev.DossPrev,mDateTransfertRAO,dateTransfertRAO,dateTransfertRao,date|RAO,/classes/class[@source='gest.dossPrev.DossPrev']/field[@source='mDateTransfertRAO']
class-field,gest.dossPrev.DossPrev,mEtat,etat,etat,etat,/classes/class[@source='gest.dossPrev.DossPrev']/field[@source='mEtat']
class-field,gest.dossPrev.DossPrev,mEtatCAUCA,etatCAUCA,etatCauca,etat,/classes/class[@source='gest.dossPrev.DossPrev']/field[@source='mEtatCAUCA']
